tweet_id,created_at,text,intent,action,escalation_reason
2531727,Mon Oct 30 11:09:12 +0000 2017,@AmazonHelp Worst experience with you! Had to cancel my order! Flipkart has better service than yours.,cancel_order,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
2825469,Mon Nov 27 10:58:15 +0000 2017,@AmazonHelp Have just done that and still seeing Wednesday/Thursday or later on every Prime Eligible item I look at.,subscription_prime,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
2722389,Tue Oct 31 18:01:23 +0000 2017,@115830 Just had phonecall from driver who’s lost. Went to gate. Then text arrived. Unable to deliver because the address is invalid.,general_support,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
2424618,Tue Nov 14 16:56:49 +0000 2017,"@115833 Why can't accounts linked to a family prime account also control home Alexa devices? I can see our smart home, but I can't see groups my husband has made and the groups I make don't ever work. Seems my app has no actual control.",account_login,escalate,Sensitive account/payment or potential unauthorized-activity issue; human review is safer.
947316,Mon Nov 27 15:00:44 +0000 2017,"@AmazonHelp still not delivered, put a note on the door as I did the school run but @126705 completely ignored it, another two days to wait. Definitely Not Prime https://t.co/J20Cxd2LlV",delivery_problem,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
155228,Thu Nov 23 09:06:00 +0000 2017,@AmazonHelp I thought Prime promised next day delivery?! Why therefore do I need to wait 3 days for my dog food. But disappointed,subscription_prime,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
775058,Thu Oct 12 02:16:24 +0000 2017,"@AmazonHelp if I pre-order an mp3 album and I have a giftcard balance, will it automatically take it off when I order it? it's not showing",gift_card,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
685904,Thu Oct 05 19:26:47 +0000 2017,Hey @115830 please pay my seller funds which has been held for over 115 days! __email__ https://t.co/THaojJGRGC,seller_issue,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
2260748,Sun Nov 26 15:20:50 +0000 2017,"Second time this week @115821 has set a Prime delivery date, pushed to USPS, and not delivered on time. https://t.co/EvVezoMCkw",delivery_problem,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
2883416,Tue Nov 28 10:17:48 +0000 2017,"@115830 - Beware of AmazonUK - fraud alert - they take your order but then try to get you to cancel. Something wrong with Amazon UK - must be fraud, otherwise they cannot be trusted. AVOID",cancel_order,escalate,Sensitive account/payment or potential unauthorized-activity issue; human review is safer.
1216263,Wed Oct 25 17:14:04 +0000 2017,@AmazonHelp I don't think this is an appropriate place to leave my package. I live in a block of flats and this could have been stolen. https://t.co/huOodXzcd1,delivery_problem,auto_handle,"Routine support request suitable for automated handling, subject to confidence and historical evidence."
